sport,event,athlete_id,athlete,position,medal,is_team_entry
Alpine Skiing,"Downhill, Men",138251,Ryan Cochran-Siegle,14,,no
Alpine Skiing,"Downhill, Men",138248,Bryce Bennett,19,,no
Alpine Skiing,"Downhill, Men",128672,Travis Ganong,20,,no
Alpine Skiing,"Super G, Men",138251,Ryan Cochran-Siegle,2,Silver,no
Alpine Skiing,"Super G, Men",128672,Travis Ganong,12,,no
Alpine Skiing,"Super G, Men",2302013,River Radamus,15,,no
Alpine Skiing,"Super G, Men",138248,Bryce Bennett,17,,no
Alpine Skiing,"Giant Slalom, Men",2302013,River Radamus,4,,no
Alpine Skiing,"Giant Slalom, Men",118481,Tommy Ford,12,,no
Alpine Skiing,"Giant Slalom, Men",138251,Ryan Cochran-Siegle,DNF,,no
Alpine Skiing,"Giant Slalom, Men",149067,Luke Winters,DNF,,no
Alpine Skiing,"Slalom, Men",149067,Luke Winters,DNF,,no
Alpine Skiing,"Downhill, Women",2302012,Keely Cashman,17,,no
Alpine Skiing,"Downhill, Women",128669,Mikaela Shiffrin,18,,no
Alpine Skiing,"Downhill, Women",128670,Jackie Wiles,21,,no
Alpine Skiing,"Downhill, Women",149183,Alix Wilkinson,DNF,,no
Alpine Skiing,"Super G, Women",128669,Mikaela Shiffrin,9,,no
Alpine Skiing,"Super G, Women",149066,Isabella Wright,21,,no
Alpine Skiing,"Super G, Women",2302012,Keely Cashman,27,,no
Alpine Skiing,"Super G, Women",149183,Alix Wilkinson,DNF,,no
Alpine Skiing,"Giant Slalom, Women",149064,Paula Moltzan,=12,,no
Alpine Skiing,"Giant Slalom, Women",149065,Nina O'Brien,DQ,,no
Alpine Skiing,"Giant Slalom, Women",128669,Mikaela Shiffrin,DNF,,no
Alpine Skiing,"Giant Slalom, Women",149062,A. J. Hurt,DNF,,no
Alpine Skiing,"Slalom, Women",149064,Paula Moltzan,8,,no
Alpine Skiing,"Slalom, Women",149061,Katie Hensien,26,,no
Alpine Skiing,"Slalom, Women",149062,A. J. Hurt,34,,no
Alpine Skiing,"Slalom, Women",128669,Mikaela Shiffrin,DNF,,no
Alpine Skiing,"Combined, Women",138396,Tricia Mangan,11,,no
Alpine Skiing,"Combined, Women",128669,Mikaela Shiffrin,DNF,,no
Alpine Skiing,"Combined, Women",2302012,Keely Cashman,DNF,,no
Alpine Skiing,"Combined, Women",149066,Isabella Wright,DNF,,no
Biathlon,"Sprint, Men",149077,Jake Brown,36,,no
Biathlon,"Sprint, Men",128679,Sean Doherty,47,,no
Biathlon,"Sprint, Men",149078,Paul Schommer,74,,no
Biathlon,"Sprint, Men",128680,Leif Nordgren,83,,no
Biathlon,"Pursuit, Men",149077,Jake Brown,40,,no
Biathlon,"Pursuit, Men",128679,Sean Doherty,43,,no
Biathlon,"Individual, Men",149077,Jake Brown,28,,no
Biathlon,"Individual, Men",149078,Paul Schommer,35,,no
Biathlon,"Individual, Men",128679,Sean Doherty,42,,no
Biathlon,"Individual, Men",128680,Leif Nordgren,87,,no
Biathlon,"Sprint, Women",128677,Susan Dunklee,27,,no
Biathlon,"Sprint, Women",138257,Joanne Reid,34,,no
Biathlon,"Sprint, Women",149076,Deedra Irwin,37,,no
Biathlon,"Sprint, Women",138255,Clare Egan,46,,no
Biathlon,"Pursuit, Women",138257,Joanne Reid,29,,no
Biathlon,"Pursuit, Women",138255,Clare Egan,38,,no
Biathlon,"Pursuit, Women",128677,Susan Dunklee,40,,no
Biathlon,"Pursuit, Women",149076,Deedra Irwin,47,,no
Biathlon,"Mass Start, Women",149076,Deedra Irwin,23,,no
Biathlon,"Individual, Women",149076,Deedra Irwin,7,,no
Biathlon,"Individual, Women",138255,Clare Egan,39,,no
Biathlon,"Individual, Women",138257,Joanne Reid,57,,no
Biathlon,"Individual, Women",128677,Susan Dunklee,63,,no
Bobsleigh,"Monobob, Women",118672,Kaillie Humphries,1,Gold,no
Bobsleigh,"Monobob, Women",118644,Elana Meyers Taylor,2,Silver,no
Cross Country Skiing,"Sprint, Men",149085,Ben Ogden,12,,no
Cross Country Skiing,"Sprint, Men",149086,J. C. Schoonmaker,15,,no
Cross Country Skiing,"Sprint, Men",149083,Kevin Bolger,17,,no
Cross Country Skiing,"Sprint, Men",149084,Luke Jager,25,,no
Cross Country Skiing,"15 kilometres, Men",138276,Scott Patterson,38,,no
Cross Country Skiing,"15 kilometres, Men",149085,Ben Ogden,42,,no
Cross Country Skiing,"15 kilometres, Men",149087,Gus Schumacher,48,,no
Cross Country Skiing,"15 kilometres, Men",149086,J. C. Schoonmaker,66,,no
Cross Country Skiing,"50 kilometres, Men",138276,Scott Patterson,8,,no
Cross Country Skiing,"Skiathlon, Men",138276,Scott Patterson,11,,no
Cross Country Skiing,"Skiathlon, Men",149087,Gus Schumacher,39,,no
Cross Country Skiing,"Sprint, Women",128689,Jessie Diggins,3,Bronze,no
Cross Country Skiing,"Sprint, Women",138267,Rosie Brennan,4,,no
Cross Country Skiing,"Sprint, Women",149079,Julia Kern,18,,no
Cross Country Skiing,"Sprint, Women",2302019,Hannah Halvorsen,43,,no
Cross Country Skiing,"10 kilometres, Women",128689,Jessie Diggins,8,,no
Cross Country Skiing,"10 kilometres, Women",138267,Rosie Brennan,13,,no
Cross Country Skiing,"10 kilometres, Women",149081,Novie McCabe,24,,no
Cross Country Skiing,"10 kilometres, Women",149082,Hailey Swirbul,32,,no
Cross Country Skiing,"30 kilometres, Women",128689,Jessie Diggins,2,Silver,no
Cross Country Skiing,"30 kilometres, Women",138267,Rosie Brennan,6,,no
Cross Country Skiing,"30 kilometres, Women",149080,Sophia Laukli,15,,no
Cross Country Skiing,"30 kilometres, Women",149081,Novie McCabe,18,,no
Cross Country Skiing,"Skiathlon, Women",128689,Jessie Diggins,6,,no
Cross Country Skiing,"Skiathlon, Women",138267,Rosie Brennan,14,,no
Cross Country Skiing,"Skiathlon, Women",149082,Hailey Swirbul,40,,no
Cross Country Skiing,"Skiathlon, Women",149079,Julia Kern,53,,no
Figure Skating,"Singles, Men",138305,Nathan Chen,1,Gold,no
Figure Skating,"Singles, Men",128725,Jason Brown,6,,no
Figure Skating,"Singles, Men",138309,Vincent Zhou,DNS,,no
Figure Skating,"Singles, Women",149110,Alysa Liu,6,,no
Figure Skating,"Singles, Women",149107,Mariah Bell,9,,no
Figure Skating,"Singles, Women",138301,Karen Chen,15,,no
Freestyle Skiing,"Moguls, Men",149102,Nick Page,5,,no
Freestyle Skiing,"Moguls, Men",149101,Cole McDonald,14,,no
Freestyle Skiing,"Moguls, Men",149105,Dylan Walczyk,16,,no
Freestyle Skiing,"Moguls, Men",128714,Brad Wilson,25,,no
Freestyle Skiing,"Aerials, Men",149103,Justin Schoenefeld,5,,no
Freestyle Skiing,"Aerials, Men",149100,Chris Lillis,6,,no
Freestyle Skiing,"Aerials, Men",138297,Eric Loughran,12,,no
Freestyle Skiing,"Ski Cross, Men",149106,Tyler Wallasch,28,,no
Freestyle Skiing,"Halfpipe, Men",128715,David Wise,2,Silver,no
Freestyle Skiing,"Halfpipe, Men",138294,Alex Ferreira,3,Bronze,no
Freestyle Skiing,"Halfpipe, Men",2302026,Birk Irving,5,,no
Freestyle Skiing,"Halfpipe, Men",128706,Aaron Blunck,7,,no
Freestyle Skiing,"Slopestyle, Men",138295,Alex Hall,1,Gold,no
Freestyle Skiing,"Slopestyle, Men",128711,Nick Goepper,2,Silver,no
Freestyle Skiing,"Slopestyle, Men",149104,Colby Stevenson,7,,no
Freestyle Skiing,"Slopestyle, Men",149099,Mac Forehand,20,,no
Freestyle Skiing,"Big Air, Men",149104,Colby Stevenson,2,Silver,no
Freestyle Skiing,"Big Air, Men",138295,Alex Hall,8,,no
Freestyle Skiing,"Big Air, Men",149099,Mac Forehand,11,,no
Freestyle Skiing,"Big Air, Men",128711,Nick Goepper,22,,no
Freestyle Skiing,"Moguls, Women",138286,Jaelin Kauf,2,Silver,no
Freestyle Skiing,"Moguls, Women",149091,Olivia Giaccio,6,,no
Freestyle Skiing,"Moguls, Women",149097,Hannah Soar,7,,no
Freestyle Skiing,"Moguls, Women",149096,Kai Owens,10,,no
Freestyle Skiing,"Aerials, Women",149095,Megan Nick,3,Bronze,no
Freestyle Skiing,"Aerials, Women",118948,Ashley Caldwell,4,,no
Freestyle Skiing,"Aerials, Women",149093,Kaila Kuhn,8,,no
Freestyle Skiing,"Aerials, Women",149098,Winter Vinecki,15,,no
Freestyle Skiing,"Halfpipe, Women",139199,Hanna Faulhaber,6,,no
Freestyle Skiing,"Halfpipe, Women",128704,Brita Sigourney,10,,no
Freestyle Skiing,"Halfpipe, Women",149094,Carly Margulies,11,,no
Freestyle Skiing,"Halfpipe, Women",128702,Devin Logan,13,,no
Freestyle Skiing,"Slopestyle, Women",138292,Maggie Voisin,5,,no
Freestyle Skiing,"Slopestyle, Women",149092,Marin Hamill,12,,no
Freestyle Skiing,"Slopestyle, Women",138291,Darian Stevens,18,,no
Freestyle Skiing,"Slopestyle, Women",138284,Caroline Claire,DNS,,no
Freestyle Skiing,"Big Air, Women",138291,Darian Stevens,11,,no
Freestyle Skiing,"Big Air, Women",149092,Marin Hamill,14,,no
Freestyle Skiing,"Big Air, Women",138292,Maggie Voisin,15,,no
Freestyle Skiing,"Big Air, Women",138284,Caroline Claire,24,,no
Luge,"Singles, Men",119429,Chris Mazdzer,8,,no
Luge,"Singles, Men",128755,Tucker West,13,,no
Luge,"Singles, Men",149147,Jonathan Gustafson,19,,no
Luge,"Singles, Women",2302054,Ashley Farquharson,12,,no
Luge,"Singles, Women",128750,Summer Britcher,23,,no
Luge,"Singles, Women",138347,Emily Sweeney,26,,no
Nordic Combined,"Individual, Men",138353,Ben Loomis,15,,no
Nordic Combined,"Individual, Men",149150,Jared Shumate,19,,no
Nordic Combined,"Individual, Men",119483,Taylor Fletcher,24,,no
Nordic Combined,"Individual, Men",149149,Stephan Schumann,25,,no
Nordic Combined,"Sprint, Men",149150,Jared Shumate,17,,no
Nordic Combined,"Sprint, Men",138353,Ben Loomis,19,,no
Nordic Combined,"Sprint, Men",119483,Taylor Fletcher,23,,no
Nordic Combined,"Sprint, Men",138352,Jasper Good,34,,no
Short Track Speed Skating,"500 metres, Men",1800042,Ryan Pivirotto,16,,no
Short Track Speed Skating,"1,000 metres, Men",149170,Andrew Heo,7,,no
Short Track Speed Skating,"1,000 metres, Men",1800042,Ryan Pivirotto,13,,no
Short Track Speed Skating,"1,500 metres, Men",149170,Andrew Heo,28,,no
Short Track Speed Skating,"1,500 metres, Men",1800042,Ryan Pivirotto,DQ,,no
Short Track Speed Skating,"500 metres, Women",138383,Maame Biney,13,,no
Short Track Speed Skating,"500 metres, Women",149168,Kristen Santos,17,,no
Short Track Speed Skating,"500 metres, Women",149169,Corie Stoddard,32,,no
Short Track Speed Skating,"1,000 metres, Women",149168,Kristen Santos,4,,no
Short Track Speed Skating,"1,000 metres, Women",149169,Corie Stoddard,7,,no
Short Track Speed Skating,"1,000 metres, Women",138383,Maame Biney,9,,no
Short Track Speed Skating,"1,500 metres, Women",149168,Kristen Santos,9,,no
Short Track Speed Skating,"1,500 metres, Women",149169,Corie Stoddard,18,,no
Short Track Speed Skating,"1,500 metres, Women",149167,Julie Letai,21,,no
Skeleton,"Skeleton, Men",149160,Andrew Blaser,21,,no
Skeleton,"Skeleton, Women",110429,Katie Uhlaender,6,,no
Skeleton,"Skeleton, Women",149159,Kelly Curtis,21,,no
Ski Jumping,"Normal Hill, Individual, Men",138359,Casey Larson,39,,no
Ski Jumping,"Normal Hill, Individual, Men",138357,Kevin Bickner,43,,no
Ski Jumping,"Normal Hill, Individual, Men",149157,Decker Dean,44,,no
Ski Jumping,"Normal Hill, Individual, Men",149158,Patrick Gasienica,49,,no
Ski Jumping,"Large Hill, Individual, Men",138357,Kevin Bickner,39,,no
Ski Jumping,"Large Hill, Individual, Men",138359,Casey Larson,43,,no
Ski Jumping,"Large Hill, Individual, Men",149157,Decker Dean,45,,no
Ski Jumping,"Large Hill, Individual, Men",149158,Patrick Gasienica,53,,no
Ski Jumping,"Normal Hill, Individual, Women",149180,Anna Hoffmann,37,,no
Snowboarding,"Parallel Giant Slalom, Men",149156,Cody Winters,29,,no
Snowboarding,"Parallel Giant Slalom, Men",149153,Robert Burns,31,,no
Snowboarding,"Slopestyle, Men",138371,Red Gerard,4,,no
Snowboarding,"Slopestyle, Men",138368,Chris Corning,6,,no
Snowboarding,"Slopestyle, Men",149154,Sean FitzSimons,12,,no
Snowboarding,"Slopestyle, Men",139946,Dusty Henricksen,17,,no
Snowboarding,"Halfpipe, Men",109860,Shaun White,4,,no
Snowboarding,"Halfpipe, Men",128772,Ty Gold,5,,no
Snowboarding,"Halfpipe, Men",138372,Chase Josey,7,,no
Snowboarding,"Halfpipe, Men",149155,Lucas Foster,17,,no
Snowboarding,"Cross, Men",2302065,Jake Vedder,6,,no
Snowboarding,"Cross, Men",119606,Nick Baumgartner,=9,,no
Snowboarding,"Cross, Men",138369,Mick Dierdorff,=13,,no
Snowboarding,"Cross, Men",138373,Hagen Kearney,=17,,no
Snowboarding,"Big Air, Men",138371,Red Gerard,5,,no
Snowboarding,"Big Air, Men",138368,Chris Corning,7,,no
Snowboarding,"Big Air, Men",149154,Sean FitzSimons,17,,no
Snowboarding,"Big Air, Men",139946,Dusty Henricksen,21,,no
Snowboarding,"Slopestyle, Women",138364,Julia Marino,2,Silver,no
Snowboarding,"Slopestyle, Women",128763,Jamie Anderson,9,,no
Snowboarding,"Slopestyle, Women",138362,Hailey Langland,11,,no
Snowboarding,"Slopestyle, Women",139945,Courtney Rummel,17,,no
Snowboarding,"Halfpipe, Women",138361,Chloe Kim,1,Gold,no
Snowboarding,"Halfpipe, Women",138365,Maddie Mastro,13,,no
Snowboarding,"Halfpipe, Women",139954,Tessa Maud,16,,no
Snowboarding,"Halfpipe, Women",149152,Zoe Kalapos,17,,no
Snowboarding,"Cross, Women",110950,Lindsey Jacobellis,1,Gold,no
Snowboarding,"Cross, Women",149151,Stacy Gaskill,7,,no
Snowboarding,"Cross, Women",138366,Meghan Tierney,=9,,no
Snowboarding,"Cross, Women",119570,Faye Gulini,=13,,no
Snowboarding,"Big Air, Women",138362,Hailey Langland,12,,no
Snowboarding,"Big Air, Women",128763,Jamie Anderson,15,,no
Snowboarding,"Big Air, Women",139945,Courtney Rummel,19,,no
Snowboarding,"Big Air, Women",138364,Julia Marino,DNS,,no
Speed Skating,"500 metres, Men",140168,Jordan Stolz,13,,no
Speed Skating,"500 metres, Men",2302066,Austin Kleba,27,,no
Speed Skating,"1,000 metres, Men",140168,Jordan Stolz,14,,no
Speed Skating,"1,000 metres, Men",2302066,Austin Kleba,29,,no
Speed Skating,"1,500 metres, Men",128784,Joey Mantia,6,,no
Speed Skating,"1,500 metres, Men",128783,Emery Lehman,11,,no
Speed Skating,"1,500 metres, Men",149164,Casey Dawson,28,,no
Speed Skating,"5,000 metres, Men",128783,Emery Lehman,16,,no
Speed Skating,"5,000 metres, Men",149163,Ethan Cepuran,17,,no
Speed Skating,"Mass Start, Men",128784,Joey Mantia,4,,no
Speed Skating,"Mass Start, Men",149165,Ian Quinn,26,,no
Speed Skating,"500 metres, Women",138378,Erin Jackson,1,Gold,no
Speed Skating,"500 metres, Women",128778,Brittany Bowe,16,,no
Speed Skating,"500 metres, Women",149162,Kimi Goetz,18,,no
Speed Skating,"1,000 metres, Women",128778,Brittany Bowe,3,Bronze,no
Speed Skating,"1,000 metres, Women",149162,Kimi Goetz,7,,no
Speed Skating,"1,500 metres, Women",128778,Brittany Bowe,10,,no
Speed Skating,"1,500 metres, Women",138379,Mia Kilburg,20,,no
Speed Skating,"3,000 metres, Women",138379,Mia Kilburg,19,,no
Speed Skating,"Mass Start, Women",138379,Mia Kilburg,4,,no
Speed Skating,"Mass Start, Women",149161,Giorgia Birkeland,12,,no
