id,name,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games,birthplace,sports,events_entered,medal_count,any_medal,any_gold,any_silver,any_bronze,best_position,has_individual_results
149062,A. J. Hurt,2022,2000-12-05,2000,12,4,21.17,"Truckee, California (USA)",Alpine Skiing,2,0,False,False,False,False,34.0,True
128706,Aaron Blunck,2022,1996-04-12,1996,4,2,25.82,"Denver, Colorado (USA)",Freestyle Skiing,1,0,False,False,False,False,7.0,True
149140,Aaron Ness,2022,1990-05-18,1990,5,2,31.72,"Bemidji, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
149118,Abbey Murphy,2022,2002-04-14,2002,4,2,19.81,"Evergreen Park, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
149119,Abby Roque,2022,1997-09-25,1997,9,3,24.36,"Sault Sainte Marie, Michigan (USA)",Ice Hockey,0,0,False,False,False,False,,False
138278,Aileen Geving,2022,1987-02-13,1987,2,1,34.98,"Duluth, Minnesota (USA)",Curling,0,0,False,False,False,False,,False
128729,Alex Carpenter,2022,1994-04-13,1994,4,2,27.81,"Cambridge, Massachusetts (USA)",Ice Hockey,0,0,False,False,False,False,,False
1800063,Alex Cavallini,2022,1992-01-03,1992,1,1,30.09,"Downers Grove, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
138294,Alex Ferreira,2022,1994-08-14,1994,8,3,27.48,"Aspen, Colorado (USA)",Freestyle Skiing,1,1,True,False,False,True,3.0,True
138295,Alex Hall,2022,1998-09-21,1998,9,3,23.37,"Fairbanks, Alaska (USA)",Freestyle Skiing,2,1,True,True,False,False,1.0,True
138303,Alexa Scimeca Knierim,2022,1991-06-10,1991,6,2,30.66,"Addison, Illinois (USA)",Figure Skating,0,0,False,False,False,False,,False
149183,Alix Wilkinson,2022,2000-08-02,2000,8,3,21.51,"Mammoth Lakes, California (USA)",Alpine Skiing,2,0,False,False,False,False,,True
149110,Alysa Liu,2022,2005-08-08,2005,8,3,16.49,"Clovis, California (USA)",Figure Skating,1,0,False,False,False,False,6.0,True
128733,Amanda Kessel,2022,1991-08-28,1991,8,3,30.44,"Madison, Wisconsin (USA)",Ice Hockey,0,0,False,False,False,False,,False
149160,Andrew Blaser,2022,1989-05-08,1989,5,2,32.74,"Meridian, Idaho (USA)",Skeleton,1,0,False,False,False,False,21.0,True
149170,Andrew Heo,2022,2001-03-07,2001,3,1,20.91,"Warrington, Bucks County, Pennsylvania (USA)",Short Track Speed Skating,2,0,False,False,False,False,7.0,True
149138,Andy Miele,2022,1988-04-15,1988,4,2,33.81,"Grosse Pointe Woods, Michigan (USA)",Ice Hockey,0,0,False,False,False,False,,False
149180,Anna Hoffmann,2022,2000-03-28,2000,3,1,21.86,"Madison, Wisconsin (USA)",Ski Jumping,1,0,False,False,False,False,37.0,True
149108,Ashley Cain-Gribble,2022,1995-07-22,1995,7,3,26.54,"Dallas, Texas (USA)",Figure Skating,0,0,False,False,False,False,,False
118948,Ashley Caldwell,2022,1993-09-14,1993,9,3,28.39,"Ashburn, Virginia (USA)",Freestyle Skiing,1,0,False,False,False,False,4.0,True
2302054,Ashley Farquharson,2022,1999-03-16,1999,3,1,22.89,"Sacramento, California (USA)",Luge,1,0,False,False,False,False,12.0,True
2302066,Austin Kleba,2022,1999-07-27,1999,7,3,22.53,"Campton Hills, Illinois (USA)",Speed Skating,2,0,False,False,False,False,27.0,True
138279,Becca Hamilton,2022,1990-07-12,1990,7,3,31.57,"Madison, Wisconsin (USA)",Curling,0,0,False,False,False,False,,False
138353,Ben Loomis,2022,1998-06-09,1998,6,2,23.66,"Eau Claire, Wisconsin (USA)",Nordic Combined,2,0,False,False,False,False,15.0,True
149137,Ben Meyers,2022,1998-11-15,1998,11,4,23.22,"Delano, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
149085,Ben Ogden,2022,2000-02-13,2000,2,1,21.98,"Landgrove, Vermont (USA)",Cross Country Skiing,2,0,False,False,False,False,12.0,True
2302026,Birk Irving,2022,1999-07-26,1999,7,3,22.53,"Englewood, New Jersey (USA)",Freestyle Skiing,1,0,False,False,False,False,5.0,True
128714,Brad Wilson,2022,1992-06-05,1992,6,2,29.67,"Butte, Montana (USA)",Freestyle Skiing,1,0,False,False,False,False,25.0,True
149112,Brandon Frazier,2022,1992-11-19,1992,11,4,29.21,"Phoenix, Arizona (USA)",Figure Skating,0,0,False,False,False,False,,False
149125,Brendan Brisson,2022,2001-10-22,2001,10,4,20.29,"Manhattan Beach, California (USA)",Ice Hockey,0,0,False,False,False,False,,False
149128,Brian Cooper,2022,1993-11-01,1993,11,4,28.26,"Anchorage, Alaska (USA)",Ice Hockey,0,0,False,False,False,False,,False
138338,Brian O'Neill,2022,1988-06-01,1988,6,2,33.68,"Philadelphia, Pennsylvania (USA)",Ice Hockey,0,0,False,False,False,False,,False
128731,Brianna Decker,2022,1991-05-13,1991,5,2,30.73,"Dousman, Wisconsin (USA)",Ice Hockey,0,0,False,False,False,False,,False
128704,Brita Sigourney,2022,1990-01-17,1990,1,1,32.05,"Monterey, California (USA)",Freestyle Skiing,1,0,False,False,False,False,10.0,True
128778,Brittany Bowe,2022,1988-02-24,1988,2,1,33.95,"Ocala, Florida (USA)",Speed Skating,3,1,True,False,False,True,3.0,True
149129,Brock Faber,2022,2002-08-22,2002,8,3,19.46,"Maple Grove, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
138248,Bryce Bennett,2022,1992-07-14,1992,7,3,29.56,"Truckee, California (USA)",Alpine Skiing,2,0,False,False,False,False,17.0,True
138264,Carlo Valdes,2022,1990-02-11,1990,2,1,31.98,"Newport Beach, California (USA)",Bobsleigh,0,0,False,False,False,False,,False
149094,Carly Margulies,2022,1997-12-24,1997,12,4,24.11,"Salt Lake City, Utah (USA)",Freestyle Skiing,1,0,False,False,False,False,11.0,True
138284,Caroline Claire,2022,2000-02-02,2000,2,1,22.01,"Edina, Minnesota (USA)",Freestyle Skiing,2,0,False,False,False,False,24.0,True
149117,Caroline Harvey,2022,2002-10-14,2002,10,4,19.31,"Pelham, New Hampshire (USA)",Ice Hockey,0,0,False,False,False,False,,False
149164,Casey Dawson,2022,2000-08-02,2000,8,3,21.51,"Park City, Utah (USA)",Speed Skating,1,0,False,False,False,False,28.0,True
138359,Casey Larson,2022,1998-12-16,1998,12,4,23.14,"Barrington, Illinois (USA)",Ski Jumping,2,0,False,False,False,False,39.0,True
138310,Cayla Barnes,2022,1999-01-07,1999,1,1,23.08,"Eastvale, California (USA)",Ice Hockey,0,0,False,False,False,False,,False
149074,Charlie Volker,2022,1997-05-23,1997,5,2,24.7,"Fair Haven, New Jersey (USA)",Bobsleigh,0,0,False,False,False,False,,False
138372,Chase Josey,2022,1995-03-31,1995,3,1,26.85,"Hailey, Idaho (USA)",Snowboarding,1,0,False,False,False,False,7.0,True
138361,Chloe Kim,2022,2000-04-23,2000,4,2,21.79,"Long Beach, California (USA)",Snowboarding,1,1,True,True,False,False,1.0,True
138368,Chris Corning,2022,1999-09-07,1999,9,3,22.41,"Silverthorne, Colorado (USA)",Snowboarding,2,0,False,False,False,False,6.0,True
149100,Chris Lillis,2022,1998-10-04,1998,10,4,23.34,"Rochester, New York (USA)",Freestyle Skiing,1,0,False,False,False,False,6.0,True
119429,Chris Mazdzer,2022,1988-06-26,1988,6,2,33.61,"Pittsfield, Massachusetts (USA)",Luge,1,0,False,False,False,False,8.0,True
118883,Chris Plys,2022,1987-08-13,1987,8,3,34.48,"Duluth, Minnesota (USA)",Curling,0,0,False,False,False,False,,False
138255,Clare Egan,2022,1987-11-19,1987,11,4,34.21,"Portland, Maine (USA)",Biathlon,3,0,False,False,False,False,38.0,True
149156,Cody Winters,2022,2000-04-20,2000,4,2,21.79,"Steamboat Springs, Colorado (USA)",Snowboarding,1,0,False,False,False,False,29.0,True
149104,Colby Stevenson,2022,1997-10-03,1997,10,4,24.34,"Portsmouth, New Hampshire (USA)",Freestyle Skiing,2,1,True,False,True,False,2.0,True
149101,Cole McDonald,2022,2003-03-06,2003,3,1,18.92,"Park City, Utah (USA)",Freestyle Skiing,1,0,False,False,False,False,14.0,True
149090,Colin Hufman,2022,1984-05-15,1984,5,2,37.72,"Fairbanks, Alaska (USA)",Curling,0,0,False,False,False,False,,False
149169,Corie Stoddard,2022,2001-08-15,2001,8,3,20.47,"Seattle, Washington (USA)",Short Track Speed Skating,3,0,False,False,False,False,7.0,True
139945,Courtney Rummel,2022,2003-11-12,2003,11,4,18.23,"Mequon, Wisconsin (USA)",Snowboarding,2,0,False,False,False,False,17.0,True
138312,Dani Cameranesi,2022,1995-06-30,1995,6,2,26.6,"Minneapolis, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
138291,Darian Stevens,2022,1996-10-29,1996,10,4,25.27,"Missoula, Montana (USA)",Freestyle Skiing,2,0,False,False,False,False,11.0,True
149145,David Warsofsky,2022,1990-05-30,1990,5,2,31.69,"Marshfield, Massachusetts (USA)",Ice Hockey,0,0,False,False,False,False,,False
128715,David Wise,2022,1990-06-30,1990,6,2,31.6,"Reno, Nevada (USA)",Freestyle Skiing,1,1,True,False,True,False,2.0,True
149157,Decker Dean,2022,2000-08-08,2000,8,3,21.49,"Steamboat Springs, Colorado (USA)",Ski Jumping,2,0,False,False,False,False,44.0,True
149076,Deedra Irwin,2022,1992-05-27,1992,5,2,29.69,"Pulaski, Wisconsin (USA)",Biathlon,4,0,False,False,False,False,7.0,True
128702,Devin Logan,2022,1993-02-17,1993,2,1,28.96,"Oceanside, New York (USA)",Freestyle Skiing,1,0,False,False,False,False,13.0,True
149127,Drew Commesso,2022,2002-07-19,2002,7,3,19.55,"Norwell, Massachusetts (USA)",Ice Hockey,0,0,False,False,False,False,,False
149131,Drew Helleson,2022,2001-03-26,2001,3,1,20.86,"Farmington, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
139946,Dusty Henricksen,2022,2003-02-02,2003,2,1,19.01,"Redlands, California (USA)",Snowboarding,2,0,False,False,False,False,17.0,True
149105,Dylan Walczyk,2022,1993-06-25,1993,6,2,28.61,"Rochester, New York (USA)",Freestyle Skiing,1,0,False,False,False,False,16.0,True
118644,Elana Meyers Taylor,2022,1984-10-10,1984,10,4,37.32,"Oceanside, California (USA)",Bobsleigh,1,1,True,False,True,False,2.0,True
128783,Emery Lehman,2022,1996-06-13,1996,6,2,25.65,"Oak Park, Illinois (USA)",Speed Skating,2,0,False,False,False,False,11.0,True
138347,Emily Sweeney,2022,1993-03-16,1993,3,1,28.89,"Portland, Maine (USA)",Luge,1,0,False,False,False,False,26.0,True
138297,Eric Loughran,2022,1995-04-12,1995,4,2,26.82,"Lowell, Massachusetts (USA)",Freestyle Skiing,1,0,False,False,False,False,12.0,True
138378,Erin Jackson,2022,1992-09-19,1992,9,3,29.38,"Ocala, Florida (USA)",Speed Skating,1,1,True,True,False,False,1.0,True
149163,Ethan Cepuran,2022,2000-05-13,2000,5,2,21.73,"Glen Ellyn, Illinois (USA)",Speed Skating,1,0,False,False,False,False,17.0,True
149166,Eunice Lee,2022,2004-11-11,2004,11,4,17.23,"San Diego, California (USA)",Short Track Speed Skating,0,0,False,False,False,False,,False
119076,Evan Bates,2022,1989-02-23,1989,2,1,32.95,"Ann Arbor, Michigan (USA)",Figure Skating,0,0,False,False,False,False,,False
119570,Faye Gulini,2022,1992-03-24,1992,3,1,29.87,"Salt Lake City, Utah (USA)",Snowboarding,1,0,False,False,False,False,,True
149071,Frankie Del Duca,2022,1991-07-07,1991,7,3,30.58,"Fort Lauderdale, Florida (USA)",Bobsleigh,0,0,False,False,False,False,,False
149161,Giorgia Birkeland,2022,2002-06-14,2002,6,2,19.64,"Scandiano, Reggio Emilia (ITA)",Speed Skating,1,0,False,False,False,False,12.0,True
149121,Grace Zumwinkle,2022,1999-04-23,1999,4,2,22.79,"Minneapolis, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
149087,Gus Schumacher,2022,2000-07-25,2000,7,3,21.53,"Madison, Wisconsin (USA)",Cross Country Skiing,2,0,False,False,False,False,39.0,True
138373,Hagen Kearney,2022,1991-11-06,1991,11,4,30.25,"Buffalo, New York (USA)",Snowboarding,1,0,False,False,False,False,,True
138362,Hailey Langland,2022,2000-08-02,2000,8,3,21.51,"Irving, California (USA)",Snowboarding,2,0,False,False,False,False,11.0,True
149082,Hailey Swirbul,2022,1998-07-10,1998,7,3,23.57,"El Jebel, Colorado (USA)",Cross Country Skiing,2,0,False,False,False,False,32.0,True
138259,Hakeem Abdul-Saboor,2022,1987-11-07,1987,11,4,34.25,"Hoboken, New Jersey (USA)",Bobsleigh,0,0,False,False,False,False,,False
139199,Hanna Faulhaber,2022,2004-09-04,2004,9,3,17.42,"Aspen, Colorado (USA)",Freestyle Skiing,1,0,False,False,False,False,6.0,True
138311,Hannah Brandt,2022,1993-11-27,1993,11,4,28.19,"Maplewood, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
2302019,Hannah Halvorsen,2022,1998-02-19,1998,2,1,23.96,"Pazardzhik, Pazardzhik (BUL)",Cross Country Skiing,1,0,False,False,False,False,43.0,True
149097,Hannah Soar,2022,1999-06-04,1999,6,2,22.67,"Somers, Connecticut (USA)",Freestyle Skiing,1,0,False,False,False,False,7.0,True
149120,Hayley Scamurra,2022,1994-12-14,1994,12,4,27.14,"Williamsville, New York (USA)",Ice Hockey,0,0,False,False,False,False,,False
119215,Hilary Knight,2022,1989-07-12,1989,7,3,32.57,"Palo Alto, California (USA)",Ice Hockey,0,0,False,False,False,False,,False
149070,Hunter Church,2022,1996-10-30,1996,10,4,25.26,"Cadyville, New York (USA)",Bobsleigh,0,0,False,False,False,False,,False
149165,Ian Quinn,2022,1993-07-21,1993,7,3,28.54,"St. Louis, Missouri (USA)",Speed Skating,1,0,False,False,False,False,26.0,True
149066,Isabella Wright,2022,1997-02-10,1997,2,1,24.98,"American Fork, Utah (USA)",Alpine Skiing,2,0,False,False,False,False,21.0,True
149086,J. C. Schoonmaker,2022,2000-08-12,2000,8,3,21.48,"Truckee, California (USA)",Cross Country Skiing,2,0,False,False,False,False,15.0,True
128670,Jackie Wiles,2022,1992-07-13,1992,7,3,29.56,"Portland, Oregon (USA)",Alpine Skiing,1,0,False,False,False,False,21.0,True
138286,Jaelin Kauf,2022,1996-09-26,1996,9,3,25.36,"Vail, Colorado (USA)",Freestyle Skiing,1,1,True,False,True,False,2.0,True
149077,Jake Brown,2022,1992-03-28,1992,3,1,29.86,"Edina, Minnesota (USA)",Biathlon,3,0,False,False,False,False,28.0,True
149142,Jake Sanderson,2022,2002-07-08,2002,7,3,19.58,"Whitefish, Montana (USA)",Ice Hockey,0,0,False,False,False,False,,False
2302065,Jake Vedder,2022,1998-04-16,1998,4,2,23.81,"Pinckney, Michigan (USA)",Snowboarding,1,0,False,False,False,False,6.0,True
149073,James Reed,2022,1991-05-23,1991,5,2,30.7,"Bloomington, Indiana (USA)",Bobsleigh,0,0,False,False,False,False,,False
128763,Jamie Anderson,2022,1990-09-13,1990,9,3,31.39,"South Lake Tahoe, California (USA)",Snowboarding,2,0,False,False,False,False,9.0,True
149150,Jared Shumate,2022,1999-03-06,1999,3,1,22.92,"Atlanta, Georgia (USA)",Nordic Combined,2,0,False,False,False,False,17.0,True
128725,Jason Brown,2022,1994-12-15,1994,12,4,27.14,"Los Angeles, California (USA)",Figure Skating,1,0,False,False,False,False,6.0,True
138352,Jasper Good,2022,1996-05-10,1996,5,2,25.74,"Steamboat Springs, Colorado (USA)",Nordic Combined,1,0,False,False,False,False,34.0,True
149111,Jean-Luc Baker,2022,1993-10-07,1993,10,4,28.33,"Burnley, England (GBR)",Figure Skating,0,0,False,False,False,False,,False
149114,Jesse Compher,2022,1999-07-01,1999,7,3,22.6,"Northbrook, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
128689,Jessie Diggins,2022,1991-08-26,1991,8,3,30.44,"Minneapolis, Minnesota (USA)",Cross Country Skiing,4,2,True,False,True,True,2.0,True
149115,Jincy Dunne,2022,1997-05-15,1997,5,2,24.73,"O'Fallon, Missouri (USA)",Ice Hockey,0,0,False,False,False,False,,False
138257,Joanne Reid,2022,1992-06-28,1992,6,2,29.6,"Madison, Wisconsin (USA)",Biathlon,3,0,False,False,False,False,29.0,True
128784,Joey Mantia,2022,1986-02-07,1986,2,1,35.99,"Ocala, Florida (USA)",Speed Skating,2,0,False,False,False,False,4.0,True
128695,John Landsteiner,2022,1990-05-19,1990,5,2,31.72,"Mankato, Minnesota (USA)",Curling,0,0,False,False,False,False,,False
110160,John Shuster,2022,1982-11-03,1982,11,4,39.26,"Chisholm, Minnesota (USA)",Curling,0,0,False,False,False,False,,False
149147,Jonathan Gustafson,2022,1997-03-05,1997,3,1,24.92,"Massena, New York (USA)",Luge,1,0,False,False,False,False,19.0,True
140168,Jordan Stolz,2022,2004-05-21,2004,5,2,17.71,"West Bend, Wisconsin (USA)",Speed Skating,2,0,False,False,False,False,13.0,True
149075,Josh Williamson,2022,1996-08-29,1996,8,3,25.43,"Sanford, Florida (USA)",Bobsleigh,0,0,False,False,False,False,,False
149079,Julia Kern,2022,1997-09-12,1997,9,3,24.4,"Berkeley, California (USA)",Cross Country Skiing,2,0,False,False,False,False,18.0,True
138364,Julia Marino,2022,1997-09-11,1997,9,3,24.4,"Yonkers, New York (USA)",Snowboarding,2,1,True,False,True,False,2.0,True
149167,Julie Letai,2022,2000-06-23,2000,6,2,21.62,"Medfield, Massachusetts (USA)",Short Track Speed Skating,1,0,False,False,False,False,21.0,True
149195,Justin Abdelkader,2022,1987-02-25,1987,2,1,34.94,"Muskegon, Michigan (USA)",Ice Hockey,0,0,False,False,False,False,,False
149103,Justin Schoenefeld,2022,1998-08-13,1998,8,3,23.48,"Erlanger, Kentucky (USA)",Freestyle Skiing,1,0,False,False,False,False,5.0,True
149096,Kai Owens,2022,2004-08-16,2004,8,3,17.47,"?, Anhui (CHN)",Freestyle Skiing,1,0,False,False,False,False,10.0,True
149093,Kaila Kuhn,2022,2003-04-08,2003,4,2,18.83,"Boyne City, Michigan (USA)",Freestyle Skiing,1,0,False,False,False,False,8.0,True
118672,Kaillie Humphries,2022,1985-09-04,1985,9,3,36.42,"Calgary, Alberta (CAN)",Bobsleigh,1,1,True,True,False,False,1.0,True
149109,Kaitlin Hawayek,2022,1996-11-04,1996,11,4,25.25,"Buffalo, New York (USA)",Figure Skating,0,0,False,False,False,False,,False
138301,Karen Chen,2022,1999-08-16,1999,8,3,22.47,"Fremont, California (USA)",Figure Skating,1,0,False,False,False,False,15.0,True
149061,Katie Hensien,2022,1999-12-01,1999,12,4,22.18,"Redmond, Washington (USA)",Alpine Skiing,1,0,False,False,False,False,26.0,True
110429,Katie Uhlaender,2022,1984-07-17,1984,7,3,37.55,"Vail, Colorado (USA)",Skeleton,1,0,False,False,False,False,6.0,True
149069,Kaysha Love,2022,1997-09-24,1997,9,3,24.36,"West Jordan, Utah (USA)",Bobsleigh,0,0,False,False,False,False,,False
2302012,Keely Cashman,2022,1999-04-04,1999,4,2,22.84,"Sonora, California (USA)",Alpine Skiing,3,0,False,False,False,False,17.0,True
149159,Kelly Curtis,2022,1989-01-25,1989,1,1,33.03,"Princeton, New Jersey (USA)",Skeleton,1,0,False,False,False,False,21.0,True
138317,Kelly Pannek,2022,1995-12-29,1995,12,4,26.1,"Minneapolis, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
128730,Kendall Coyne Schofield,2022,1992-05-25,1992,5,2,29.7,"Oak Lawn, Illinois (USA)",Ice Hockey,0,0,False,False,False,False,,False
149123,Kenny Agostino,2022,1992-04-30,1992,4,2,29.77,"Morristown, New Jersey (USA)",Ice Hockey,0,0,False,False,False,False,,False
138357,Kevin Bickner,2022,1996-09-23,1996,9,3,25.37,"Lake Forest, Illinois (USA)",Ski Jumping,2,0,False,False,False,False,39.0,True
149083,Kevin Bolger,2022,1993-04-11,1993,4,2,28.82,"Minocqua, Wisconsin (USA)",Cross Country Skiing,1,0,False,False,False,False,17.0,True
149162,Kimi Goetz,2022,1994-08-13,1994,8,3,27.48,"Flemington, New Jersey (USA)",Speed Skating,2,0,False,False,False,False,7.0,True
149072,Kris Horn,2022,1994-04-25,1994,4,2,27.78,"Weymouth, Massachusetts (USA)",Bobsleigh,0,0,False,False,False,False,,False
149168,Kristen Santos,2022,1994-11-02,1994,11,4,27.26,"Fairfield, Connecticut (USA)",Short Track Speed Skating,3,0,False,False,False,False,4.0,True
128737,Lee Stecklein,2022,1994-04-23,1994,4,2,27.79,"South St. Paul, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
128680,Leif Nordgren,2022,1989-05-18,1989,5,2,32.72,"Colorado Springs, Colorado (USA)",Biathlon,2,0,False,False,False,False,83.0,True
110950,Lindsey Jacobellis,2022,1985-08-19,1985,8,3,36.46,"Danbury, Connecticut (USA)",Snowboarding,1,1,True,True,False,False,1.0,True
149155,Lucas Foster,2022,1999-09-17,1999,9,3,22.38,"Telluride, Colorado (USA)",Snowboarding,1,0,False,False,False,False,17.0,True
149084,Luke Jager,2022,2000-01-17,2000,1,1,22.05,"Redding, California (USA)",Cross Country Skiing,1,0,False,False,False,False,25.0,True
149067,Luke Winters,2022,1997-04-02,1997,4,2,24.84,"Gresham, Oregon (USA)",Alpine Skiing,2,0,False,False,False,False,,True
138383,Maame Biney,2022,2000-01-28,2000,1,1,22.02,"Accra, Greater Accra (GHA)",Short Track Speed Skating,2,0,False,False,False,False,9.0,True
149099,Mac Forehand,2022,2001-08-04,2001,8,3,20.5,"Winhall, Vermont (USA)",Freestyle Skiing,2,0,False,False,False,False,11.0,True
